order_id,side,price,quantity,type
1,BUY,9985,126,LIMIT
2,BUY,10035,380,LIMIT
3,BUY,9954,16,LIMIT
4,BUY,10026,14,LIMIT
5,BUY,10039,280,LIMIT
6,BUY,9985,415,LIMIT
7,BUY,9992,143,LIMIT
8,BUY,0,173,MARKET
9,BUY,9992,434,LIMIT
10,SELL,10040,236,LIMIT
11,BUY,0,194,MARKET
12,SELL,10026,454,LIMIT
13,BUY,9952,339,LIMIT
14,SELL,0,438,MARKET
15,BUY,10003,326,LIMIT
16,BUY,9971,344,LIMIT
17,BUY,9966,274,LIMIT
18,BUY,9994,139,LIMIT
19,BUY,10045,398,LIMIT
20,BUY,9986,206,LIMIT
21,BUY,10018,449,LIMIT
22,SELL,10010,203,LIMIT
23,SELL,9965,127,LIMIT
24,SELL,10003,460,LIMIT
25,SELL,9967,261,LIMIT
26,BUY,9964,79,LIMIT
27,BUY,10005,306,LIMIT
28,SELL,10009,271,LIMIT
29,BUY,9964,350,LIMIT
30,SELL,9994,58,LIMIT
31,SELL,9951,489,LIMIT
32,SELL,0,391,MARKET
33,BUY,0,153,MARKET
34,BUY,10049,83,LIMIT
35,BUY,10015,10,LIMIT
36,SELL,0,426,MARKET
37,BUY,10024,485,LIMIT
38,BUY,9959,390,LIMIT
39,BUY,10012,485,LIMIT
40,BUY,10030,217,LIMIT
41,BUY,10003,344,LIMIT
42,SELL,10019,232,LIMIT
43,BUY,9995,11,LIMIT
44,BUY,9953,37,LIMIT
45,BUY,9958,441,LIMIT
46,BUY,9989,343,LIMIT
47,BUY,10046,479,LIMIT
48,SELL,10015,414,LIMIT
49,BUY,10039,221,LIMIT
50,SELL,10048,28,LIMIT
51,BUY,10049,174,LIMIT
52,BUY,10023,230,LIMIT
53,SELL,10013,128,LIMIT
54,SELL,10023,51,LIMIT
55,BUY,0,475,MARKET
56,BUY,10012,110,LIMIT
57,BUY,9951,200,LIMIT
58,SELL,10040,491,LIMIT
59,SELL,9989,112,LIMIT
60,BUY,9958,26,LIMIT
61,SELL,10019,81,LIMIT
62,BUY,0,36,MARKET
63,BUY,9982,207,LIMIT
64,BUY,9956,318,LIMIT
65,SELL,10022,268,LIMIT
66,SELL,10041,161,LIMIT
67,SELL,10034,331,LIMIT
68,SELL,10045,480,LIMIT
69,BUY,10020,52,LIMIT
70,BUY,9963,478,LIMIT
71,BUY,0,190,MARKET
72,BUY,10016,361,LIMIT
73,BUY,10017,154,LIMIT
74,BUY,0,69,MARKET
75,BUY,0,381,MARKET
76,BUY,10026,108,LIMIT
77,SELL,10031,437,LIMIT
78,SELL,9956,48,LIMIT
79,SELL,9956,2,LIMIT
80,BUY,9984,83,LIMIT
81,SELL,10006,288,LIMIT
82,BUY,10039,463,LIMIT
83,BUY,10024,283,LIMIT
84,SELL,9988,187,LIMIT
85,SELL,9979,342,LIMIT
86,SELL,9999,499,LIMIT
87,BUY,0,122,MARKET
88,BUY,0,13,MARKET
89,SELL,9998,411,LIMIT
90,BUY,10047,360,LIMIT
91,SELL,0,440,MARKET
92,BUY,10004,180,LIMIT
93,BUY,10030,99,LIMIT
94,SELL,9954,496,LIMIT
95,SELL,9997,348,LIMIT
96,SELL,0,60,MARKET
97,BUY,9980,20,LIMIT
98,SELL,10046,161,LIMIT
99,BUY,10019,98,LIMIT
100,BUY,9946,267,LIMIT
101,BUY,9955,486,LIMIT
